expand,self,id,key,name,avatarUrls,projectCategory,projectTypeKey,simplified,style,isPrivate,properties
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10202,10202,ATTWEB,Acctuate/2023-ATT-WEB-2110,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10422', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10422?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10422?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10422?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10000', 'id': '10000', 'name': 'Team Based', 'description': 'For all ODC projects'}",software,False,classic,False,{}
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10059,10059,ATPWEB,Action Power/2022-ATP-WEB-1937,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10413', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10413?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10413?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10413?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10000', 'id': '10000', 'name': 'Team Based', 'description': 'For all ODC projects'}",software,False,classic,False,{}
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10282,10282,AOEWEB,Aerobics for Eyes/2024-AOE-WEB-2170,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10403', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10403?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10403?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10403?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10001', 'id': '10001', 'name': 'Fixed Cost', 'description': 'For all fixed cost projects'}",software,False,classic,False,{}
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10176,10176,AGNWEB,Agent Phase 3/2023-AGN-WEB-2088,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10413', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10413?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10413?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10413?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10001', 'id': '10001', 'name': 'Fixed Cost', 'description': 'For all fixed cost projects'}",software,False,classic,False,{}
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10151,10151,ATGHYB,Anthongen/2023-ATG-HYB-2065,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10406', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10406?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10406?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10406?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10000', 'id': '10000', 'name': 'Team Based', 'description': 'For all ODC projects'}",software,False,classic,False,{}
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10140,10140,APPRKITWEB,AppraisalKit/2023-KWT-WEB-2056,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10400', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10400?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10400?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10400?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10001', 'id': '10001', 'name': 'Fixed Cost', 'description': 'For all fixed cost projects'}",software,False,classic,False,{}
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10050,10050,BARIAMC,Bar-i AMC/2022-BAR-1964,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10409', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10409?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10409?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10409?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10001', 'id': '10001', 'name': 'Fixed Cost', 'description': 'For all fixed cost projects'}",software,False,classic,False,{}
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10052,10052,BARPH4WEB,Bar-i Phase 4/2022-BAR-WEB-1965,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10400', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10400?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10400?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10400?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10001', 'id': '10001', 'name': 'Fixed Cost', 'description': 'For all fixed cost projects'}",software,False,classic,False,{}
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10058,10058,BCMBCK,BCM Strategy/2022-BCM-BCK-1971,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10415', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10415?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10415?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10415?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10000', 'id': '10000', 'name': 'Team Based', 'description': 'For all ODC projects'}",software,False,classic,False,{}
"description,lead,issueTypes,url,projectKeys,permissions,insight",https://kiwitechllc.atlassian.net/rest/api/2/project/10117,10117,BCMRSSBCK,BCMstrategy - HTML to RSS Parser/2023-BCM-BCK-2029,"{'48x48': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10404', '24x24': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10404?size=small', '16x16': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10404?size=xsmall', '32x32': 'https://kiwitechllc.atlassian.net/rest/api/2/universal_avatar/view/type/project/avatar/10404?size=medium'}","{'self': 'https://kiwitechllc.atlassian.net/rest/api/2/projectCategory/10000', 'id': '10000', 'name': 'Team Based', 'description': 'For all ODC projects'}",software,False,classic,False,{}
